title,date,raw_date,place,summary,url,supplement_url,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Name_10,Name_11,Name_12,Name_13,Name_14,Name_15,Name_16,Name_17,Name_18,Name_19,Name_20,Name_21,Name_22,Name_23,Name_24,Name_25,Name_26,Name_27,Name_28,Name_29,Name_30,Name_31,Name_32,Name_33,Name_34,Name_35,Name_36,Name_37,Name_38,Name_39,Name_40,Name_41,Name_42,Name_43,Name_44,Name_45,Name_46,Name_47,Name_48,Name_49,Name_50,Name_51,Name_52,Name_53,Name_54,Name_55,Name_56,Name_57,Name_58,Name_59,Name_60,Name_61,Name_62,Name_63,Name_64
Встреча с главами муниципальных образований,2025-04-21,21 апреля 2025 года,No location,Владимир Путин провёл встречу с главами муниципальных образований субъектов Российской Федерации – участниками Всероссийского муниципального форума «Малая родина – сила России».,http://kremlin.ru/events/president/news/76738,http://kremlin.ru/supplement/6294,БОЛОТОВ Руслан Николаевич – мэр г. Иркутска,ВАГИН Пётр Александрович – глава г. Тобольска Тюменской области,ГАРМАЕВ Станислав Дашиевич – глава муниципального образования Селенгинский район Республики Бурятия,ГУСЕВА Ирина Михайловна – сопредседатель Всероссийской ассоциации развития местного самоуправления,ДЕНИСОВ Дмитрий Александрович – городской голова г. Калуги,КАДЫРОВ Хас-Магомед Шахмомедович – мэр г. Грозного,КУЖЕЛЕВА Марина Николаевна – глава Медведовского сельского поселения Клинцовского муниципального района Брянской области,КУТОМАНОВ Виталий Владимирович – глава администрации Краснояружского района Белгородской области,МЕТШИН Ильсур Раисович – мэр г. Казани,МУССАГАЛЕЕВ Нурсултан Серкбаевич – глава Новосергиевского района Оренбургской области,НАУМОВ Евгений Михайлович – глава муниципального образования г. Краснодар,НЕЩАДИМ Людмила Николаевна – глава администрации Гатчинского муниципального округа Ленинградской области,НИСКОВСКИХ Дмитрий Андреевич – глава Сысертского муниципального округа Свердловской области,ПОПОВ Анатолий Анатольевич – глава Добровского муниципального округа Липецкой области,РАДЕЦКИЙ Сергей Анатольевич – председатель городской думы муниципального образования город Биробиджан,РЯШИН Максим Павлович – глава г. Ханты-Мансийска,САФРОНОВА Ольга Александровна – мэр г. Горно-Алтайска,СИПАЧ Алексей Николаевич – глава муниципального образования городское поселение посёлок Доброград Ковровского муниципального района Владимирской области,СКРЯБИН Александр Юрьевич – мэр г. Ростова-на-Дону,СОКОЛЬСКАЯ Алёна Дмитриевна – глава городского округа Клин Московской области,ТИТОВСКИЙ Алексей Леонидович – глава г. Салехарда,ЧЕРНЕВ Владимир Ильич – глава Старобельского муниципального округа Луганской Народной Республики,ШАТОВ Александр Васильевич – глава Шахтёрского муниципального округа Донецкой Народной Республики,ЩЁЛОКОВ Александр Александрович – мэр г. Арзамаса Нижегородской области,"ЭРК Алексей Алоисович – глава муниципального образования г. Тула, председатель Тульской городской думы",КИРИЕНКО Сергей Владиленович – первый заместитель Руководителя Администрации Президента Российской Федерации,ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом ЮАР Сирилом Рамафозой,2025-04-21,21 апреля 2025 года,No location,Состоялся телефонный разговор Владимира Путина с Президентом Южно-Африканской Республики Сирилом Рамафозой.,http://kremlin.ru/events/president/news/76737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ответы на вопросы журналистов,2025-04-21,21 апреля 2025 года,Москва,,http://kremlin.ru/events/president/news/76736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Церемония вручения Всероссийской муниципальной премии «Служение»,2025-04-21,21 апреля 2025 года,Москва,В рамках второго Всероссийского муниципального форума «Малая родина – сила России» Владимир Путин принял участие в церемонии награждения победителей премии «Служение».,http://kremlin.ru/events/president/news/76735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Поздравление Патриарху Московскому и всея Руси Кириллу с праздником Пасхи,2025-04-20,20 апреля 2025 года,No location,Глава государства поздравил Патриарха Московского и всея Руси Кирилла с праздником Пасхи – Светлым Христовым Воскресением.,http://kremlin.ru/events/president/news/76731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Поздравление с праздником Пасхи,2025-04-20,20 апреля 2025 года,No location,"Владимир Путин поздравил православных христиан и всех граждан России, отмечающих Пасху – Светлое Христово Воскресение.",http://kremlin.ru/events/president/news/76730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с начальником Генштаба Вооружённых Сил Валерием Герасимовым,2025-04-19,19 апреля 2025 года,"Москва, Кремль","В ходе встречи Верховный Главнокомандующий заслушал доклад начальника Генерального штаба Вооружённых Сил России – первого заместителя Министра обороны Валерия Герасимова о ситуации на линии боевого соприкосновения и сообщил, что российская сторона останавливает все боевые действия с 18.00 19 апреля до 00.00 21 апреля.",http://kremlin.ru/events/president/news/76727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 апреля состоятся переговоры Президента России с Султаном Омана Хейсамом Бен Тареком Аль Саидом,,No date,No location,"22 апреля в Москве состоятся переговоры Владимира Путина с Султаном Омана Хейсамом Бен Тареком Аль Саидом, который посетит Россию с государственным визитом.",http://kremlin.ru/events/president/news/76723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с постоянными членами Совета Безопасности,2025-04-18,18 апреля 2025 года,"Московская область, Ново-Огарёво",Владимир Путин в режиме видеоконференции провёл оперативное совещание с постоянными членами Совета Безопасности.,http://kremlin.ru/events/president/news/76717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом Казахстана Касым-Жомартом Токаевым,2025-04-17,17 апреля 2025 года,No location,Состоялся телефонный разговор Владимира Путина с Президентом Республики Казахстан Касым-Жомартом Токаевым.,http://kremlin.ru/events/president/news/76713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Министром иностранных дел Ирана Аббасом Аракчи,2025-04-17,17 апреля 2025 года,"Москва, Кремль","Владимир Путин принял в Кремле Министра иностранных дел Исламской Республики Иран Аббаса Аракчи, который находится в Москве с визитом.",http://kremlin.ru/events/president/news/76710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Российско-катарские переговоры,2025-04-17,17 апреля 2025 года,"Москва, Кремль","В Кремле прошли переговоры Владимира Путина с Эмиром Государства Катар Тамимом Бен Хамадом Аль Тани, который находится в России с официальным визитом.",http://kremlin.ru/events/president/news/76702,http://kremlin.ru/supplement/6293,ЛАВРОВ Сергей Викторович – Министр иностранных дел Российской Федерации,"МАНТУРОВ Денис Валентинович – Первый заместитель Председателя Правительства Российской Федерации, председатель российской части Совместной российско-катарской комиссии по торговому, экономическому и техническому сотрудничеству",ПЕСКОВ Дмитрий Сергеевич – заместитель Руководителя Администрации Президента Российской Федерации – пресс-секретарь Президента Российской Федерации,УШАКОВ Юрий Викторович – помощник Президента Российской Федерации,ДОГАДКИН Дмитрий Николаевич – Чрезвычайный и Полномочный Посол Российской Федерации в Государстве Катар,ДЕГТЯРЁВ Михаил Владимирович – Министр спорта Российской Федерации,МУРАШКО Михаил Альбертович – Министр здравоохранения Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,НАБИУЛЛИНА Эльвира Сахипзадовна – Председатель Центрального банка Российской Федерации,СЛУЦКИЙ Леонид Эдуардович – председатель Комитета Государственной Думы Федерального Собрания Российской Федерации по международным делам,МИННИХАНОВ Рустам Нургалиевич – глава Республики Татарстан,ЛЕВИТИН Игорь Евгеньевич – советник Президента Российской Федерации,ИВАНОВ Валентин Олегович – первый заместитель Министра транспорта Российской Федерации,"ДМИТРИЕВ Кирилл Александрович – специальный представитель Президента Российской Федерации по инвестиционно-экономическому сотрудничеству с зарубежными странами, генеральный директор Российского фонда прямых инвестиций",ЛАВРЕНТЬЕВ Александр Львович – специальный представитель Президента Российской Федерации по вопросам сирийского урегулирования,КОСТЮКОВ Игорь Олегович – заместитель начальника Генерального штаба Вооружённых Сил Российской Федерации – начальник Главного управления Генерального штаба Вооружённых Сил Российской Федерации,"ГРЕФ Герман Оскарович – президент, председатель правления ПАО «Сбербанк»",КОСТИН Андрей Леонидович – президент – председатель правления ПАО «Банк ВТБ»,"СЕЧИН Игорь Иванович – главный исполнительный директор, председатель правления ПАО «НК «Роснефть»",ХАРИТОНИН Виктор Владимирович – акционер компании «БИОКАД»,КАФУД Фахад Бен Мухаммед – директор Европейского департамента Министерства иностранных дел Государства Катар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с семьёй Труфановых,2025-04-16,16 апреля 2025 года,"Москва, Кремль","Владимир Путин встретился в Кремле с Александром Труфановым, его матерью Еленой и невестой Сапир Коэн.",http://kremlin.ru/events/president/news/76694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание по вопросам развития космической деятельности,2025-04-16,16 апреля 2025 года,Москва,Президент провёл в МГТУ имени Баумана совещание по вопросам развития космической деятельности.,http://kremlin.ru/events/president/news/76692,http://kremlin.ru/supplement/6291,МАНТУРОВ Денис Валентинович – Первый заместитель Председателя Правительства Российской Федерации,ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,ДЮМИН Алексей Геннадьевич – помощник Президента Российской Федерации,ФУРСЕНКО Андрей Александрович – помощник Президента Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,ФАЛЬКОВ Валерий Николаевич – Министр науки и высшего образования Российской Федерации,КРАСНИКОВ Геннадий Яковлевич – президент Российской академии наук,СОБЯНИН Сергей Семёнович – мэр Москвы,ГОЛОВКО Александр Валентинович – командующий Космическими войсками Российской Федерации – заместитель главнокомандующего Воздушно-космическими силами Российской Федерации,БАКАНОВ Дмитрий Владимирович – генеральный директор Государственной корпорации по космической деятельности «Роскосмос»,КОВАЛЬЧУК Михаил Валентинович – президент ФГБУ «Национальный исследовательский центр «Курчатовский институт»,ЛИХАЧЁВ Алексей Евгеньевич – генеральный директор Государственной корпорации по атомной энергии «Росатом»,ТЮЛИН Андрей Евгеньевич – председатель научно-технического совета Военно-промышленной комиссии Российской Федерации – заместитель председателя коллегии Военно-промышленной комиссии Российской Федерации,ГОРДИН Михаил Валерьевич – ректор ФГАОУ ВО «Московский государственный технический университет им. Н.Э.Баумана»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение МГТУ имени Баумана,2025-04-16,16 апреля 2025 года,Москва,"Владимир Путин посетил Московский государственный технический университет им. Н.Э.Баумана, где осмотрел новый корпус и пообщался со студентами.",http://kremlin.ru/events/president/news/76690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 апреля состоятся переговоры Президента России с Эмиром Государства Катар Тамимом Аль Тани,,No date,No location,"17 апреля в Москве состоятся переговоры Президента России Владимира Путина с Эмиром Государства Катар Тамимом Аль Тани, который посетит Россию с официальным визитом.",http://kremlin.ru/events/president/news/76688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Заседание Президиума Госсовета по вопросу развития инфраструктуры для жизни,2025-04-15,15 апреля 2025 года,"Московская область, Ново-Огарёво","Владимир Путин в режиме видеоконференции провёл расширенное заседание Президиума Государственного Совета, посвящённое вопросам развития инфраструктуры для жизни.",http://kremlin.ru/events/president/news/76685,http://kremlin.ru/supplement/6290,МИШУСТИН Михаил Владимирович – Председатель Правительства Российской Федерации,ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,"ДЮМИН Алексей Геннадьевич – помощник Президента Российской Федерации, Секретарь Государственного Совета Российской Федерации","ЦЫДЕНОВ Алексей Самбуевич – Глава Республики Бурятия, председатель комиссии Государственного Совета Российской Федерации по направлению «Эффективная транспортная система»","ЗДУНОВ Артём Алексеевич – Глава Республики Мордовия, председатель комиссии Государственного Совета Российской Федерации по направлению «Семья»","НИКОЛАЕВ Айсен Сергеевич – Глава Республики Саха (Якутия), председатель комиссии Государственного Совета Российской Федерации по направлению «Энергетика»","МИННИХАНОВ Рустам Нургалиевич – Глава Республики Татарстан, председатель комиссии Государственного Совета Российской Федерации по направлению «Инфраструктура для жизни»","КОТЮКОВ Михаил Михайлович – губернатор Красноярского края, председатель комиссии Государственного Совета Российской Федерации по направлению «Технологическое лидерство»","КОЖЕМЯКО Олег Николаевич – губернатор Приморского края, председатель комиссии Государственного Совета Российской Федерации по направлению «Туризм»","ВЛАДИМИРОВ Владимир Владимирович – губернатор Ставропольского края, председатель комиссии Государственного Совета Российской Федерации по направлению «Сельское хозяйство»","ЦЫБУЛЬСКИЙ Александр Витальевич – губернатор Архангельской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Международная кооперация и экспорт»","БАБУШКИН Игорь Юрьевич – губернатор Астраханской области, председатель комиссии Государственного Совета Российской Федерации по вопросам поддержки ветеранов боевых действий – участников специальной военной операции и членов их семей","ВОСКРЕСЕНСКИЙ Станислав Сергеевич – губернатор Ивановской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Продолжительная и активная жизнь»","ШАПША Владислав Валерьевич – губернатор Калужской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Кадры»","ВОРОБЬЁВ Андрей Юрьевич – губернатор Московской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Экономика данных»","ЧИБИС Андрей Владимирович – губернатор Мурманской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Северный морской путь и Арктика»","НИКИТИН Глеб Сергеевич – губернатор Нижегородской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Экологическое благополучие»","МАЛКОВ Павел Викторович – губернатор Рязанской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Эффективная и конкурентная экономика»","ФЕДОРИЩЕВ Вячеслав Андреевич – губернатор Самарской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Промышленность»","ЛИМАРЕНКО Валерий Игоревич – губернатор Сахалинской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Инвестиции»","МИЛЯЕВ Дмитрий Вячеславович – губернатор Тульской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Физическая культура и спорт»","ТЕКСЛЕР Алексей Леонидович – губернатор Челябинской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Экономика и финансы»","СОБЯНИН Сергей Семёнович – мэр Москвы, председатель комиссии Государственного Совета Российской Федерации по направлению «Государственное и муниципальное управление»","РАЗВОЖАЕВ Михаил Владимирович – губернатор города Севастополя, председатель комиссии Государственного Совета Российской Федерации по направлению «Культура и традиционные духовно-нравственные ценности»","АРТЮХОВ Дмитрий Андреевич – губернатор Ямало-Ненецкого автономного округа, председатель комиссии Государственного Совета Российской Федерации по направлению «Молодёжь и дети»",СИМОНЕНКО Владимир Александрович – начальник Управления Президента Российской Федерации по вопросам формирования и деятельности Государственного Совета Российской Федерации,ЩЁГОЛЕВ Игорь Олегович – полномочный представитель Президента Российской Федерации в Центральном федеральном округе,АВДЕЕВ Александр Александрович – губернатор Владимирской области,ДРОЗДЕНКО Александр Юрьевич – губернатор Ленинградской области,ХУСНУЛЛИН Марат Шакирзянович – Заместитель Председателя Правительства Российской Федерации,РЕШЕТНИКОВ Максим Геннадьевич – Министр экономического развития Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,СТАРОВОЙТ Роман Владимирович – Министр транспорта Российской Федерации,ФАЙЗУЛЛИН Ирек Энварович – Министр строительства и жилищно-коммунального хозяйства Российской Федерации,НАБИУЛЛИНА Эльвира Сахипзадовна – Председатель Центрального Банка Российской Федерации,ГЛУШКОВ Антон Николаевич – президент ассоциации «Национальное объединение строителей»,МУТКО Виталий Леонтьевич – генеральный директор акционерного общества «ДОМ.РФ»,ШАГИАХМЕТОВ Ильшат Ильгизович – генеральный директор публично-правовой компании «Фонд развития территорий»,ШУВАЛОВ Игорь Иванович – председатель государственной корпорации развития «ВЭБ.РФ»,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с заместителем Премьер-министра ОАЭ Сейфом Аль Нахайяном,2025-04-30,30 апреля 2025 года,"Москва, Кремль",,http://kremlin.ru/events/president/news/76834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Оливером Стоуном,2025-04-30,30 апреля 2025 года,Москва,,http://kremlin.ru/events/president/news/76833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с участниками просветительского марафона «Знание. Первые»,2025-04-30,30 апреля 2025 года,Москва,"Владимир Путин прибыл на Поклонную гору в Центральный музей Великой Отечественной войны 1941–1945 годов, где встретился с участниками федерального просветительского марафона «Знание. Первые».",http://kremlin.ru/events/president/news/76832,http://kremlin.ru/supplement/6299,ДРЕВАЛЬ Максим Алексеевич – генеральный директор Общероссийской общественно-государственной просветительской организации «Российское общество «Знание»,"АГАПОВА Виктория Максимовна – победитель Всероссийского проекта «Хранители истории», руководитель юнармейского военно-патриотического отряда, двукратный победитель конкурса «Большая перемена»","АХМЕТЗЯНОВ Рифат Ильгизович – наставник городского «Совета Первых» Общероссийского общественно-государственного движения детей и молодежи «Движение первых», волонтер, участник международного проекта «Поезд Памяти»","БЕЛОГЛАЗОВ Артем Алексеевич – член клуба молодых историков ФГАОУ ВО «Российский государственный гуманитарный университет» в Российской публичной исторической библиотеке, разработчик выставки о фальсификации истории «Грани памяти и забвения»","ГОГОЛЕВ Никита Юрьевич – юнармеец, активист Общероссийского общественно-государственного движения детей и молодежи «Движение первых», победитель конкурса ВГТРК «Медиалидеры. Взгляд в будущее»","ДАНИЛОВ Владислав Евгеньевич – участник движения «Волонтеры-медики», ученик предпрофильного медицинского класса","ДМИТРИЕВА Дарья Андреевна – студентка факультета политологии ФГБОУ ВО «Санкт-Петербургский государственный университет», победитель конкурса «Знание»","ДОМАНИН Михаил Евгеньевич – cоавтор всероссийского проекта «Зарница 2.0», победитель конкурса «Знание. Лектор»","ДОМНИНА Полина Алексеевна – организатор проекта «Школа волонтеров Донбасса», волонтер-медик гуманитарных миссий в зоне СВО","ЖИЛЯЕВ Артем Евгеньевич – экскурсовод школьного музея полка «Нормадния – Неман», соорганизатор выставки «Герои Неба» в Музее Победы","ЖУКОВА Елизавета Евгеньевна – многократный победитель Всероссийского конкурса «Без срока давности», автор очерков «По оккупированному городу»","КОВАЛЕВА Софья Сергеевна – юный просветитель, автор обучающей игры по истории Великой Отечественной войны «Лица Победы. Истории подвигов»","НАЗАРОВ Егор Русланович – юный корреспондент главного штаба «ЮНАРМИИ», член поискового отряда «КитежЪ» Поискового движения России","ОГОЕВ Максим Аланович – курсант, волонтер","ПАШЕНЦЕВА Ольга Андреевна – экскурсовод школьного музея боевой славы, призер международного творческого конкурса «Наследники Победы – 2023»","ПОНОМАРЕВ Иван Иванович – участник проекта «Спасибо, братцы!»","САДЫКОВА Ляйсан Ильгизовна – участник Всероссийского проекта «Хранители истории», волонтер-медик","СМИРНОВ Семен Александрович – спортсмен, волонтер, юнармеец, бронзовый призер Чемпионата России по рукопашному бою среди юношей 14–15 лет 2023 года","СОЛОДОВНИКОВ Андрей Алексеевич – студент, член РВИО","СУЛТАНОВА Регина Ренатовна – курсант, активист Волгоградской областной общественной организации «Дом дружбы»",ТОКМАКОВА Варвара Алексеевна – победитель регионального этапа и призер федерального этапа международного конкурса сочинений «Без срока давности»,"УЖИКОВСКАЯ Ангелина Николаевна – участник проектов движения «Молодая гвардия Единой России», автор проекта «О героях былых времен»","ЦЫДЫПОВ Балдан Баирович – капитан танковых войск, Герой России, участник программы «Время героев», директор Департамента по патриотической работе Общероссийской общественно-государственной просветительской организации «Российское общество «Знание»","ЕСЕНАЛИЕВ Ринат Сансизбаевич – военный корреспондент, актер, сценарист, участник специальной военной операции","ЛОБАНОВ Сергей Викторович – писатель, поэт, гвардии лейтенант, ветеран СВО, член Союза писателей России, победитель конкурса «Поэзия Z» Министерства обороны Российской Федерации, победитель Всероссийского литературного конкурса имени генералиссимуса А.В.Суворова","ЧУХНОВСКИЙ Иван Юрьевич – художник-живописец, участник творческого молодежного сообщества изобразительного искусства, соорганизатор передвижной выставки «О Родине»",ВИНОГРАДОВА Елена Михайловна – директор автономной некоммерческой организации «Комитет семей воинов Отечества Ярославской области»,"ШИРО Мария Станиславовна – доцент ФГБОУ ВО «Волгоградский государственный социально-педагогический университет» и Института государственной службы и управления ФГБОУ ВО «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации», идейный вдохновитель сообщества «#ЛегионерыЗнания», активный участник агитбригад в зоне СВО","ЭРГАШЕВА Софья Михайловна – советник директора по воспитанию и взаимодействию с детскими общественными объединениями МБОУ СОШ №5 г. Кирова, руководитель юнармейского отряда «Буревестник»",ПРОХОРЕНКО Дмитрий Олегович – член международной команды общественного движения «Волонтеры Победы» в Приднестровской Молдавской Республике,САМОЙЛОВА Виктория Сергеевна – координатор международного движения «Бессмертный полк» в Испании,КОРОТАЕВ Сергей Олегович – режиссер фильма «В списках не значился»,"МАШКОВ Владимир Львович – художественный руководитель театра Олега Табакова и театра «Современник», продюсер и исполнитель роли в фильме «В списках не значился»","МИЛЛЕР Владислав Викторович – актер театра и кино, исполнитель главной роли в фильме «В списках не значился»",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Волгоградской области Андреем Бочаровым,2025-04-29,29 апреля 2025 года,Волгоград,"Завершая рабочую поездку в Волгоградскую область, Владимир Путин провёл встречу с главой региона Андреем Бочаровым.",http://kremlin.ru/events/president/news/76828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Президентом Белоруссии Александром Лукашенко,2025-04-29,29 апреля 2025 года,Волгоград,В Волгограде состоялась двусторонняя встреча Владимира Путина с Президентом Республики Беларусь Александром Лукашенко.,http://kremlin.ru/events/president/news/76825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Международный форум Союзного государства «Великое наследие – общее будущее»,2025-04-29,29 апреля 2025 года,Волгоград,Президенты России и Белоруссии приняли участие в пленарном заседании Международного форума Союзного государства «Великое наследие – общее будущее».,http://kremlin.ru/events/president/news/76824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение мемориального комплекса «Героям Сталинградской битвы»,2025-04-29,29 апреля 2025 года,Волгоград,В преддверии 80-летия Победы Владимир Путин и Президент Белоруссии Александр Лукашенко посетили историко-мемориальный комплекс «Героям Сталинградской битвы» на Мамаевом кургане.,http://kremlin.ru/events/president/news/76823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Санкт-Петербурга Александром Бегловым,2025-04-28,28 апреля 2025 года,Санкт-Петербург,Владимир Путин провёл рабочую встречу с губернатором Санкт-Петербурга Александром Бегловым.,http://kremlin.ru/events/president/news/76816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Председателем Совета Федерации Валентиной Матвиенко,2025-04-28,28 апреля 2025 года,Санкт-Петербург,В Санкт-Петербурге Владимир Путин встретился с Председателем Совета Федерации Валентиной Матвиенко.,http://kremlin.ru/events/president/news/76813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Председателем Государственной Думы Вячеславом Володиным,2025-04-28,28 апреля 2025 года,Санкт-Петербург,В ходе поездки в Санкт-Петербург Владимир Путин провёл рабочую встречу с Председателем Государственной Думы Вячеславом Володиным.,http://kremlin.ru/events/president/news/76812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 апреля Владимир Путин и Александр Лукашенко посетят Волгоград,,No date,No location,,http://kremlin.ru/events/president/news/76810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с членами Совета законодателей,2025-04-28,28 апреля 2025 года,Санкт-Петербург,Владимир Путин встретился с членами Совета законодателей при Федеральном Собрании Российской Федерации. Мероприятие приурочено ко Дню российского парламентаризма.,http://kremlin.ru/events/president/news/76809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
