title,date,raw_date,place,summary,url,supplement_url,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Name_10,Name_11,Name_12,Name_13,Name_14,Name_15,Name_16,Name_17,Name_18,Name_19,Name_20,Name_21,Name_22,Name_23,Name_24,Name_25,Name_26,Name_27,Name_28,Name_29,Name_30,Name_31,Name_32,Name_33,Name_34,Name_35,Name_36,Name_37,Name_38,Name_39,Name_40,Name_41,Name_42,Name_43,Name_44,Name_45,Name_46,Name_47,Name_48,Name_49,Name_50,Name_51,Name_52,Name_53,Name_54,Name_55,Name_56,Name_57,Name_58,Name_59,Name_60,Name_61,Name_62,Name_63,Name_64
Заседание наблюдательного совета «Движения первых»,2025-03-26,26 марта 2025 года,Москва,Владимир Путин провёл заседание наблюдательного совета Общероссийского общественно-государственного движения детей и молодёжи «Движение первых».,http://kremlin.ru/events/president/news/76536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с членами Правительства и открытие объектов лесопромышленного комплекса,2025-04-14,14 апреля 2025 года,"Московская область, Ново-Огарёво",Владимир Путин по видеосвязи провёл совещание с членами Правительства и принял участие в открытии объектов лесопромышленного комплекса в ряде регионов страны.,http://kremlin.ru/events/president/news/76683,http://kremlin.ru/supplement/6288,МИШУСТИН Михаил Владимирович – Председатель Правительства Российской Федерации,ВАЙНО Антон Эдуардович – Руководитель Администрации Президента Российской Федерации,КИРИЕНКО Сергей Владиленович – первый заместитель Руководителя Администрации Президента Российской Федерации,ГОЛИКОВА Татьяна Алексеевна – Заместитель Председателя Правительства Российской Федерации,ГРИГОРЕНКО Дмитрий Юрьевич – Заместитель Председателя Правительства Российской Федерации – Руководитель Аппарата Правительства Российской Федерации,НОВАК Александр Валентинович – Заместитель Председателя Правительства Российской Федерации,ПАТРУШЕВ Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации,САВЕЛЬЕВ Виталий Геннадьевич – Заместитель Председателя Правительства Российской Федерации,ТРУТНЕВ Юрий Петрович – Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,ХУСНУЛЛИН Марат Шакирзянович – Заместитель Председателя Правительства Российской Федерации,ЧЕРНЫШЕНКО Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации,ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,РЕШЕТНИКОВ Максим Геннадьевич – Министр экономического развития Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,ДЮМИН Алексей Геннадьевич – помощник Президента Российской Федерации,"КУРЕНКОВ Александр Вячеславович – Министр Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",АЛИХАНОВ Антон Андреевич – Министр промышленности и торговли Российской Федерации,ДЕГТЯРЁВ Михаил Владимирович – Министр спорта Российской Федерации,КОЗЛОВ Александр Александрович – Министр природных ресурсов и экологии Российской Федерации,ЦИВИЛЕВ Сергей Евгеньевич – Министр энергетики Российской Федерации,КОНДРАТЬЕВ Вениамин Иванович – губернатор Краснодарского края,КОЖЕМЯКО Олег Николаевич – губернатор Приморского края,ЦЫБУЛЬСКИЙ Александр Витальевич – губернатор Архангельской обрасти,КОБЗЕВ Игорь Иванович – губернатор Иркутской области,ПОПОВА Анна Юрьевна – руководитель Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека,ФИСЕНКО Виктор Сергеевич – первый заместитель Министра здравоохранения Российской Федерации,ШИЛО Алексей Николаевич – заместитель Министра транспорта Российской Федерации,ЕГОРОВ Даниил Вячеславович – руководитель Федеральной налоговой службы,СОВЕТНИКОВ Иван Васильевич – руководитель Федерального агентства лесного хозяйства,КУЗНЕЦОВ Михаил Михайлович – руководитель исполнительного комитета Общероссийского общественного движения «Народный фронт «За Россию»,БЕЛОЗЁРОВ Олег Валентинович – генеральный директор – председатель правления ОАО «РЖД»,БУТОРИН Владимир Федорович – генеральный директор ООО «Группа компаний «УЛК»,СМУШКИН Захар Давидович – председатель совета директоров АО «Группа «Илим»,УЗДЕНОВ Али Муссаевич – старший управляющий партнёр ПАО «АФК «Система»,ФРИШМАН Анатолий Семёнович – генеральный директор группы компаний «Свеза»,ШАПША Владислав Валерьевич – губернатор Калужской области,КУРБАНШО Ардашер Ермамедович – генеральный директор ООО «Ультрадекор ГМХ»,ДРОЗДЕНКО Александр Юрьевич – губернатор Ленинградской области,ОСИПОВ Вадим Евгеньевич – управляющий директор АО «СЛОТЕКС»,ВОРОБЬЁВ Андрей Юрьевич – губернатор Московской области,"ГУЩИН Тимур Витальевич – учредитель, управляющий директор ООО «МолоПак»",,,,,,,,,,,,,,,,,,,,,,,
Встреча со спецпосланником Президента США Стивеном Уиткоффом,2025-04-11,11 апреля 2025 года,Санкт-Петербург,,http://kremlin.ru/events/president/news/76675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание по стратегии развития Военно-Морского Флота,2025-04-11,11 апреля 2025 года,Санкт-Петербург,Владимир Путин провёл совещание по вопросу «О стратегии развития Военно-Морского Флота на период до 2050 года».,http://kremlin.ru/events/president/news/76673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с генеральным директором «ДОМ.РФ» Виталием Мутко,2025-04-10,10 апреля 2025 года,"Москва, Кремль","Генеральный директор акционерного общества «ДОМ.РФ» Виталий Мутко доложил Президенту о работе института развития в сфере жилищного строительства. Обсуждались, в частности, ипотечные программы, вовлечение в оборот федеральных земель, проектное финансирование, инфраструктурные облигации, разработка мастер-планов городов.",http://kremlin.ru/events/president/news/76668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с главой АСИ Светланой Чупшевой,2025-04-09,9 апреля 2025 года,"Москва, Кремль",Владимир Путин провёл встречу с генеральным директором Агентства стратегических инициатив Светланой Чупшевой.,http://kremlin.ru/events/president/news/76664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Московской области Андреем Воробьёвым,2025-04-08,8 апреля 2025 года,"Москва, Кремль","Президент провёл рабочую встречу с губернатором Московской области Андреем Воробьёвым. Глава Подмосковья, в частности, информировал Владимира Путина о масштабных проектах в сфере транспорта и медицины. Обсуждались и другие социальные вопросы, в том числе помощь участникам СВО и их семьям, меры поддержки школьных учителей.",http://kremlin.ru/events/president/news/76660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом Белоруссии Александром Лукашенко,2025-04-07,7 апреля 2025 года,No location,,http://kremlin.ru/events/president/news/76658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с главой компании «Аэрофлот» Сергеем Александровским,2025-04-07,7 апреля 2025 года,"Москва, Кремль",Владимир Путин провёл рабочую встречу с генеральным директором и председателем правления публичного акционерного общества «Аэрофлот – Российские авиалинии» Сергеем Александровским. Обсуждались итоги деятельности авиационной группы «Аэрофлот» в 2024 году.,http://kremlin.ru/events/president/news/76642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Министром культуры Ольгой Любимовой,2025-04-04,4 апреля 2025 года,"Москва, Кремль",Владимир Путин провёл рабочую встречу с Министром культуры Ольгой Любимовой.,http://kremlin.ru/events/president/news/76630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
